,Week,Price,Sales,Remaining,foresight,Choice,diff,revenue,perfect,Attempt
0,1,60,54,1946,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",0,3.3,76572.0,79164.0,0
1,2,54,80,1866,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",1,3.3,76572.0,79164.0,0
2,3,48,79,1787,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",2,3.3,76572.0,79164.0,0
3,4,48,74,1713,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",2,3.3,76572.0,79164.0,0
4,5,36,196,1517,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
5,6,36,168,1349,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
6,7,36,136,1213,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
7,8,36,142,1071,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
8,9,36,147,924,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
9,10,36,171,753,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
10,11,36,203,550,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
11,12,36,114,436,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
12,13,36,183,253,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
13,14,36,199,54,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
14,15,36,54,0,"Your revenue: $76,572, Perfect foresight strategy: $79,164, Difference: 3.3%",3,3.3,76572.0,79164.0,0
0,1,60,86,1914,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",0,5.2,89370.0,94320.0,1
1,2,60,45,1869,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",0,5.2,89370.0,94320.0,1
2,3,54,112,1757,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",1,5.2,89370.0,94320.0,1
3,4,54,71,1686,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",1,5.2,89370.0,94320.0,1
4,5,54,74,1612,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",1,5.2,89370.0,94320.0,1
5,6,48,196,1416,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
6,7,48,142,1274,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
7,8,48,122,1152,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
8,9,48,140,1012,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
9,10,48,111,901,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
10,11,48,48,853,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
11,12,48,167,686,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
12,13,48,161,525,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
13,14,48,176,349,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
14,15,48,146,203,"Your revenue: $89,370, Perfect foresight strategy: $94,320, Difference: 5.2%",2,5.2,89370.0,94320.0,1
0,1,60,125,1875,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
1,2,60,101,1774,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
2,3,60,98,1676,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
3,4,60,132,1544,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
4,5,60,179,1365,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
5,6,60,134,1231,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
6,7,60,180,1051,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
7,8,60,134,917,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
8,9,60,166,751,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
9,10,60,92,659,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
10,11,60,176,483,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
11,12,60,168,315,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",0,1.6,118110.0,120000.0,2
12,13,54,141,174,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",1,1.6,118110.0,120000.0,2
13,14,54,159,15,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",1,1.6,118110.0,120000.0,2
14,15,54,15,0,"Your revenue: $118,110, Perfect foresight strategy: $120,000, Difference: 1.6%",1,1.6,118110.0,120000.0,2
0,1,60,59,1941,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",0,1.1,81000.0,81912.0,3
1,2,48,76,1865,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
2,3,48,179,1686,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
3,4,48,85,1601,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
4,5,48,120,1481,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
5,6,48,46,1435,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
6,7,48,126,1309,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",2,1.1,81000.0,81912.0,3
7,8,36,213,1096,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
8,9,36,91,1005,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
