,Week,Price,Sales,Remaining,foresight,Choice,diff,revenue,perfect
0,1,60,83,1917,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
1,2,60,110,1807,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
2,3,60,91,1716,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
3,4,54,75,1641,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",1,13.8,84942,98562
4,5,48,100,1541,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",2,13.8,84942,98562
5,6,48,182,1359,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
6,7,48,116,1243,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
7,8,36,157,1086,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",3,13.8,84942,98562
8,9,36,189,897,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
9,10,36,302,595,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
10,11,36,208,387,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
11,12,36,330,57,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
12,13,36,57,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
13,14,36,0,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
14,15,36,0,0,"Your revenue: $84,942, Perfect foresight strategy: $98,562, Difference: 13.8%",0,13.8,84942,98562
0,1,60,68,1932,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
1,2,60,71,1861,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
2,3,60,94,1767,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
3,4,60,42,1725,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
4,5,54,55,1670,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",1,7.1,80076,86232
5,6,54,93,1577,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
6,7,54,68,1509,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
7,8,48,191,1318,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",2,7.1,80076,86232
8,9,48,127,1191,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
9,10,36,176,1015,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",3,7.1,80076,86232
10,11,36,182,833,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
11,12,36,70,763,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
12,13,36,212,551,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
13,14,36,163,388,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
14,15,36,215,173,"Your revenue: $80,076, Perfect foresight strategy: $86,232, Difference: 7.1%",0,7.1,80076,86232
0,1,60,137,1863,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
1,2,60,195,1668,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
2,3,60,140,1528,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
3,4,54,169,1359,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",1,22.3,93288,120000
4,5,54,137,1222,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
5,6,48,226,996,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",2,22.3,93288,120000
6,7,48,145,851,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
7,8,36,507,344,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",3,22.3,93288,120000
8,9,36,344,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
9,10,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
10,11,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
11,12,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
12,13,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
13,14,36,0,0,"Your revenue: $93,288, Perfect foresight strategy: $120,000, Difference: 22.3%",0,22.3,93288,120000
